127.0.0.1, 2016-10-21 17:06:40, GET, /favicon.ico, HTTP/1.1, 400, 0.001399
127.0.0.1, 2016-10-21 19:48:05, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.240506
127.0.0.1, 2016-10-21 19:49:21, GET, /css/globl.css, HTTP/1.1, 400, 0.000831
127.0.0.1, 2016-10-21 19:49:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000834
127.0.0.1, 2016-10-21 19:49:27, GET, /static/css/globl.css, HTTP/1.1, 404, 0.001251
127.0.0.1, 2016-10-21 19:49:27, GET, /favicon.ico, HTTP/1.1, 400, 0.005747
127.0.0.1, 2016-10-21 19:49:44, GET, /admin, HTTP/1.1, 200, 0.159096
127.0.0.1, 2016-10-21 19:49:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000964
127.0.0.1, 2016-10-21 19:49:45, GET, /admin, HTTP/1.1, 200, 0.088257
127.0.0.1, 2016-10-21 19:49:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000988
127.0.0.1, 2016-10-21 19:49:54, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.283915
127.0.0.1, 2016-10-21 19:49:54, GET, /favicon.ico, HTTP/1.1, 400, 0.068869
127.0.0.1, 2016-10-21 19:50:04, GET, /PolarisProject/static/css/globl.css, HTTP/1.1, 404, 0.000933
127.0.0.1, 2016-10-21 19:50:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000945
127.0.0.1, 2016-10-21 19:50:11, GET, /PolarisProject/css/globl.css, HTTP/1.1, 404, 0.062889
127.0.0.1, 2016-10-21 19:50:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000855
127.0.0.1, 2016-10-21 19:50:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000853
127.0.0.1, 2016-10-21 19:50:19, GET, /admin, HTTP/1.1, 200, 0.072908
127.0.0.1, 2016-10-21 19:50:20, GET, /admin, HTTP/1.1, 200, 0.080265
127.0.0.1, 2016-10-21 19:50:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000871
127.0.0.1, 2016-10-21 19:50:31, POST, /admin/default/index, HTTP/1.1, 200, 1.108050
127.0.0.1, 2016-10-21 19:50:32, GET, /favicon.ico, HTTP/1.1, 400, 0.011312
127.0.0.1, 2016-10-21 19:50:34, POST, /admin/default/index, HTTP/1.1, 303, 0.081198
127.0.0.1, 2016-10-21 19:50:34, GET, /admin/default/site, HTTP/1.1, 200, 0.171255
127.0.0.1, 2016-10-21 19:50:35, POST, /admin/default/check_version, HTTP/1.1, 200, 0.567608
127.0.0.1, 2016-10-21 19:50:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000867
127.0.0.1, 2016-10-21 19:50:38, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.063819
127.0.0.1, 2016-10-21 19:50:38, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.111411
127.0.0.1, 2016-10-21 19:50:38, GET, /favicon.ico, HTTP/1.1, 400, 0.006667
127.0.0.1, 2016-10-21 19:50:40, GET, /admin/default/site, HTTP/1.1, 200, 0.150489
127.0.0.1, 2016-10-21 19:50:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000848
127.0.0.1, 2016-10-21 19:50:54, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.066388
127.0.0.1, 2016-10-21 19:50:55, GET, /PolarisProject/default/global.css, HTTP/1.1, 404, 0.147446
127.0.0.1, 2016-10-21 19:50:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000846
127.0.0.1, 2016-10-21 19:51:17, GET, /PolarisProject/static/css/web2py.css, HTTP/1.1, 200, 0.001066
127.0.0.1, 2016-10-21 19:51:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000890
127.0.0.1, 2016-10-21 19:51:22, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001971
127.0.0.1, 2016-10-21 19:51:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000932
127.0.0.1, 2016-10-21 19:53:03, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.066586
127.0.0.1, 2016-10-21 19:53:03, GET, /global.css, HTTP/1.1, 400, 0.001890
127.0.0.1, 2016-10-21 19:53:03, GET, /favicon.ico, HTTP/1.1, 400, 0.001685
127.0.0.1, 2016-10-21 19:53:12, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.068169
127.0.0.1, 2016-10-21 19:53:12, GET, /global.css, HTTP/1.1, 400, 0.022428
127.0.0.1, 2016-10-21 19:53:12, GET, /favicon.ico, HTTP/1.1, 400, 0.001635
127.0.0.1, 2016-10-21 19:53:13, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.062106
127.0.0.1, 2016-10-21 19:53:13, GET, /global.css, HTTP/1.1, 400, 0.000876
127.0.0.1, 2016-10-21 19:53:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000983
127.0.0.1, 2016-10-21 19:53:13, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.076504
127.0.0.1, 2016-10-21 19:53:13, GET, /global.css, HTTP/1.1, 400, 0.001050
127.0.0.1, 2016-10-21 19:53:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000874
127.0.0.1, 2016-10-21 19:53:14, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.082839
127.0.0.1, 2016-10-21 19:53:14, GET, /global.css, HTTP/1.1, 400, 0.000860
127.0.0.1, 2016-10-21 19:53:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000858
127.0.0.1, 2016-10-21 19:53:14, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.115665
127.0.0.1, 2016-10-21 19:53:14, GET, /global.css, HTTP/1.1, 400, 0.001424
127.0.0.1, 2016-10-21 19:53:14, GET, /favicon.ico, HTTP/1.1, 400, 0.002026
127.0.0.1, 2016-10-21 19:53:19, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.068984
127.0.0.1, 2016-10-21 19:53:19, GET, /global.css, HTTP/1.1, 400, 0.001543
127.0.0.1, 2016-10-21 19:53:19, GET, /favicon.ico, HTTP/1.1, 400, 0.011340
127.0.0.1, 2016-10-21 19:55:37, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.082190
127.0.0.1, 2016-10-21 19:55:37, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.021387
127.0.0.1, 2016-10-21 19:55:37, GET, /favicon.ico, HTTP/1.1, 400, 0.002290
127.0.0.1, 2016-10-21 19:56:03, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.074382
127.0.0.1, 2016-10-21 19:56:03, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001647
127.0.0.1, 2016-10-21 19:56:03, GET, /favicon.ico, HTTP/1.1, 400, 0.004484
127.0.0.1, 2016-10-21 19:56:22, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.068915
127.0.0.1, 2016-10-21 19:56:22, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001172
127.0.0.1, 2016-10-21 19:56:22, GET, /favicon.ico, HTTP/1.1, 400, 0.001394
127.0.0.1, 2016-10-21 20:07:26, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.141193
127.0.0.1, 2016-10-21 20:07:26, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.002283
127.0.0.1, 2016-10-21 20:07:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001494
127.0.0.1, 2016-10-21 20:07:34, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.131506
127.0.0.1, 2016-10-21 20:07:34, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001192
127.0.0.1, 2016-10-21 20:07:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000848
127.0.0.1, 2016-10-21 20:11:24, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.141260
127.0.0.1, 2016-10-21 20:11:24, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 304, 0.001065
127.0.0.1, 2016-10-21 20:11:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000962
127.0.0.1, 2016-10-21 20:13:09, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.155094
127.0.0.1, 2016-10-21 20:13:09, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001197
127.0.0.1, 2016-10-21 20:13:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001288
127.0.0.1, 2016-10-21 20:13:29, GET, /PolarisProject/default/index, HTTP/1.1, 200, 0.064070
127.0.0.1, 2016-10-21 20:13:29, GET, /PolarisProject/static/css/global.css, HTTP/1.1, 200, 0.001140
